AmenityCrosswalkValue,EntityCode
Survey|20180508|1|02836|PoolServices|1,02836
Survey|20180508|1|02901|PoolServices|1,02901
Survey|20180508|1|03070|PoolServices|1,03070
Survey|20180508|1|00448|PoolServices|1,00448
Survey|20180508|1|01075|PoolServices|1,01075
Survey|20180508|1|01104|PoolServices|1,01104
Survey|20180508|1|01430|PoolServices|1,01430
Survey|20180508|1|03056|PoolServices|1,03056
Survey|20180508|1|02702|PoolServices|1,02702
Survey|20180508|1|01063|PoolServices|1,01063
Survey|20180508|1|00100|PoolServices|1,00100
Survey|20180508|1|02703|PoolServices|1,02703
Survey|20180508|1|02843|Pool|1,02843
Survey|20180508|1|00979|Pool|1,00979
Survey|20180508|1|00107|AnytimeLounge|1,00107
Survey|20180508|1|00102|AnytimeLounge|1,00102
Survey|20180508|1|00685|BasketballCourt|1,00685
Survey|20180508|1|00561|BasketballCourt|1,00561
Survey|20180508|1|02662|BasketballCourt|1,02662
Survey|20180508|1|03059|BasketballCourt|1,03059
Survey|20180508|1|00685|RacquetballCourts|1,00685
Survey|20180508|1|00131|Suites|1,00131
Survey|20180508|1|00116|BoatAndMarina|1,00116
Survey|20180508|1|03065|Sauna|1,03065
Survey|20180508|1|01593|Ballroom|1,01593
Survey|20180508|1|01593|Boardroom|1,01593
Survey|20180508|1|01593|BusinessServices|1,01593
Survey|20180508|1|01593|FitnessCenter|1,01593
Survey|20180508|1|00103|GolfCourse|2,00103
Survey|20180508|1|00102|GolfServices|1,00102
Survey|20180508|1|00100|DiningRoom|1,00100
Survey|20180508|1|00110|DiningRoom|1,00110
Survey|20180508|1|01098|DiningRoom|1,01098
Survey|20180508|1|02175|Boardroom|1,02175
Survey|20180508|1|00763|Boardroom|1,00763
Survey|20180508|1|02851|Boardroom|1,02851
Survey|20180508|1|01162|Boardroom|1,01162
Survey|20180508|1|00298|Boardroom|1,00298
Survey|20180508|1|02602|Boardroom|1,02602
Survey|20180508|1|00260|Boardroom|1,00260
Survey|20180508|1|02849|Boardroom|1,02849
Survey|20180508|1|00657|Boardroom|1,00657
Survey|20180508|1|00522|Boardroom|1,00522
Survey|20180508|1|01098|Boardroom|1,01098
Survey|20180508|1|01349|Boardroom|1,01349
Survey|20180508|1|02701|Boardroom|1,02701
Survey|20180508|1|02662|Boardroom|1,02662
Survey|20180508|1|01056|AnytimeLounge|1,01056
Survey|20180508|1|02775|PrivateDiningAndMeetingRooms|1,02775
Survey|20180508|1|01564|PrivateDiningAndMeetingRooms|1,01564
Survey|20180508|1|02701|PrivateDiningAndMeetingRooms|1,02701
Survey|20180508|1|00607|PrivateDiningAndMeetingRooms|1,00607
Survey|20180508|1|00002|PrivateDiningAndMeetingRooms|1,00002
Survey|20180508|1|00107|PrivateDiningAndMeetingRooms|1,00107
Survey|20180508|1|01084|PrivateDiningAndMeetingRooms|1,01084
Survey|20180508|1|02865|PrivateDiningAndMeetingRooms|1,02865
Survey|20180508|1|00682|PrivateDiningAndMeetingRooms|1,00682
Survey|20180508|1|01582|PrivateDiningAndMeetingRooms|1,01582
Survey|20180508|1|02779|PrivateDiningAndMeetingRooms|1,02779
Survey|20180508|1|01554|PrivateDiningAndMeetingRooms|1,01554
Survey|20180508|1|00674|PrivateDiningAndMeetingRooms|1,00674
Survey|20180508|1|00622|PrivateDiningAndMeetingRooms|1,00622
Survey|20180508|1|01724|PrivateDiningAndMeetingRooms|1,01724
Survey|20180508|1|02700|PrivateDiningAndMeetingRooms|1,02700
Survey|20180508|1|02705|PrivateDiningAndMeetingRooms|1,02705
Survey|20180508|1|00541|PrivateDiningAndMeetingRooms|1,00541
Survey|20180508|1|00657|PrivateDiningAndMeetingRooms|1,00657
Survey|20180508|1|00448|Ballroom|1,00448
Survey|20180508|1|01598|Ballroom|1,01598
Survey|20180508|1|00730|Ballroom|1,00730
Survey|20180508|1|01588|Ballroom|1,01588
Survey|20180508|1|01579|Ballroom|1,01579
Survey|20180508|1|00703|Ballroom|1,00703
Survey|20180508|1|01597|Ballroom|1,01597
Survey|20180508|1|00607|Ballroom|1,00607
Survey|20180508|1|00245|Ballroom|1,00245
Survey|20180508|1|00734|Ballroom|1,00734
Survey|20180508|1|00164|Ballroom|1,00164
Survey|20180508|1|00507|Ballroom|1,00507
Survey|20180508|1|00002|Ballroom|1,00002
Survey|20180508|1|01554|Ballroom|1,01554
Survey|20180508|1|02705|ConferenceRoom|1,02705
Survey|20180508|1|02602|ConferenceRoom|1,02602
Survey|20180508|1|02506|ConferenceRoom|1,02506
Survey|20180508|1|00245|ConferenceRoom|1,00245
Survey|20180508|1|00199|ConferenceRoom|1,00199
Survey|20180508|1|02504|ConferenceRoom|1,02504
Survey|20180508|1|01084|ConferenceRoom|1,01084
Survey|20180508|1|00002|ConferenceRoom|1,00002
Survey|20180508|1|01644|ConferenceRoom|1,01644
Survey|20180508|1|00678|ConferenceRoom|1,00678
Survey|20180508|1|01104|ConferenceRoom|1,01104
Survey|20180508|1|00164|ConferenceRoom|1,00164
Survey|20180508|1|02889|ConferenceRoom|1,02889
Survey|20180508|1|02756|DiningRoom|1,02756
Survey|20180508|1|02704|DiningRoom|1,02704
Survey|20180508|1|03059|GolfSimulator|1,03059
Survey|20180508|1|02812|GolfSimulator|1,02812
Survey|20180508|1|00561|GolfSimulator|1,00561
Survey|20180508|1|00106|TennisCourts|1,00106
Survey|20180508|1|00114|TennisCourts|1,00114
Survey|20180508|1|02836|TennisCourts|1,02836
Survey|20180508|1|00153|TennisCourts|1,00153
Survey|20180508|1|01591|TennisCourts|1,01591
Survey|20180508|1|00979|TennisCourts|1,00979
Survey|20180508|1|03008|TennisCourts|1,03008
Survey|20180508|1|02806|TennisCourts|1,02806
Survey|20180508|1|02284|TennisCourts|1,02284
Survey|20180508|1|02662|TennisCourts|1,02662
Survey|20180508|1|02985|ConferenceRoom|1,02985
Survey|20180508|1|00430|ConferenceRoom|1,00430
Survey|20180508|1|01475|ConferenceRoom|1,01475
Survey|20180508|1|00541|ConferenceRoom|1,00541
Survey|20180508|1|00112|PrivateDiningAndMeetingRooms|1,00112
